"","Country","country.area.cultivated","Human.Devel.Index","Internal.renewable.water.resources.per.capita","Total.renewable.water.resources.per.capita","Flood.occurance","Total.water.withdrawal.per.capita","SDG.water.stress","Longterm.avg.annual.precip.volumne","Pop.with.access.to.safe.drinking.water"
"91","North Macedonia",17.8,0.74515,2603.66666666667,3085.66666666667,3.3,266.9,13.34,15.91,99.3666666666667
"92","Norway",1.87933333333333,0.9431,76385.6666666667,78585.3333333333,1.3,641.1,2.301,657.766666666667,100
"93","Occupied Palestinian Territory",26.1566666666667,0.681,190.166666666667,196.033333333333,3,92.645,54.655,2.42,66.5
"94","Oman",0.239933333333333,0.793,410.566666666667,410.566666666667,1.9,496.1,84.71,38.69,92.0333333333333
"95","Pakistan",39.3266666666667,0.53525,310.433333333333,1393,3.9,1031,112.6,393.3,90.7333333333333
"96","Panama",9.772,0.7761,36359.3333333333,37078,2.8,285.1,0.8361,220.8,93.5
"97","Papua New Guinea",2.05266666666667,0.503,108574,108574,1.6,59.16,0.1322,1454,39.2666666666667
"98","Paraguay",10.755,0.67425,18376.6666666667,60910.6666666667,3.3,378.3,1.835,459.6,92.2666666666667
"99","Peru",4.048,0.73115,54476.6666666667,62411,2.8,452.9,2.525,2234,85.1666666666667
"100","Philippines",35.7333333333333,0.66285,4958,4958,4,845.7,25.0266666666667,704.4,90.6
"101","Poland",37.0133333333333,0.8401,1400.33333333333,1580.66666666667,2.7,296.9,39.31,187.6,97.8
"102","Portugal",19.79,0.8283,3615,7362.66666666667,2.4,860.9,18.38,78.7166666666667,99.6666666666667
"103","Qatar",1.41033333333333,0.8488,31.6066666666667,32.7366666666667,0,373.1,374.1,0.8591,99.9666666666667
"104","Republic of Korea",17.1733333333333,0.89555,1297.33333333333,1394.33333333333,3.5,595.2,84.76,127.466666666667,97.35
"105","Republic of Moldova",62.3333333333333,0.68825,396.6,3004.33333333333,3.8,257.9,15.82,15.23,87.6666666666667
"106","Romania",38.2833333333333,0.7903,2090,10453.6666666667,3.7,324.166666666667,6.161,151.9,97.5
"107","Russian Federation",7.202,0.7964,30044.6666666667,31528.6666666667,2,482.7,4.421,7865,96.4666666666667
"108","Saint Lucia",15.7533333333333,0.72935,1729,1729,3.6,256.4,14.3,1.427,95.8333333333333
"109","Saint Vincent and the Grenadines",20.51,0.71755,914.066666666667,914.066666666667,3.6,77.34,7.9,0.6174,95.1
"110","Saudi Arabia",1.64966666666667,0.83175,83.47,83.47,1.2,788.033333333333,870.833333333333,126.8,97
"111","Serbia",31.47,0.76635,938.4,18105.3333333333,3.5,466.9,4.70866666666667,49.98,99.2333333333333
"112","Sierra Leone",22.1766666666667,0.40485,23806.6666666667,23806.6666666667,1.6,35.28,0.4958,182.6,58.8
"113","Slovakia",28.4066666666667,0.83975,2324.33333333333,9242,3.8,116.166666666667,2.70833333333333,40.4033333333333,99.9666666666667
"114","Slovenia",11.012,0.87895,9103,15539,3.5,447.1,6.19833333333333,23.71,99.5333333333333
"115","South Africa",10.6033333333333,0.66245,844.4,967.766666666667,2.8,273.3,49.63,603.4,91.6666666666667
"116","South Sudan",4.284,0.46195,2235,4256,2.5,60.82,4.226,579.9,58.7
"117","Spain",34.2533333333333,0.8749,2407.33333333333,2413.66666666667,2.7,763.133333333333,47.1433333333333,321.666666666667,100
"118","Sri Lanka",33.0233333333333,0.75265,2593,2593,3.7,653.7,90.81,112.3,92.1666666666667
"119","Sudan",10.645,0.4775,104.895,991.3,3.3,748.3,118.6,469.8,55.5
"120","Suriname",0.366233333333333,0.7126,184758,184758,1.4,1208,3.951,381.9,94.0666666666667
"121","Sweden",5.82533333333333,0.90525,17946.3333333333,18260.6666666667,0.4,284.4,3.8375,279.8,100
"122","Switzerland",10.3466666666667,0.9283,5046.66666666667,6683.33333333333,3.2,249.6,7.647,63.46,100
"123","Syrian Arab Republic",30.8666666666667,0.6084,367.633333333333,865.966666666667,2.7,853.7,125.9,46.67,89.7666666666667
"124","Tajikistan",6.11966666666667,0.62075,7974.66666666667,2753,3.7,1607,73.82,98.23,70.7
"125","Thailand",39.8666666666667,0.72465,3317.33333333333,6481.33333333333,3.7,865.8,23.02,832.3,96.7
"126","Timor-Leste",15.4466666666667,0.5993,7051,7051,2.2,1100,28.27,22.3,68.9666666666667
"127","Trinidad and Tobago",9.162,0.7704,2866.66666666667,2866.66666666667,2.2,274.55,19.505,11.29,94.9
"128","Tunisia",31.15,0.7199,385.5,424.066666666667,2.6,363.15,101.39,33.87,96.2333333333333
"129","Turkey",30.7233333333333,0.7587,3039,2833,2.6,623.233333333333,34.8933333333333,465.7,98.8
"130","Turkmenistan",4.166,0.68225,266.4,4696.66666666667,1.8,5739,143.5,78.58,60.4
"131","Uganda",36.8433333333333,0.47935,1086.3,1674,3.6,17.54,5.828,285,74.1666666666667
"132","Ukraine",55.46,0.74505,1216.33333333333,3869.66666666667,2.4,291.866666666667,17.1533333333333,341,96.5666666666667
"133","United Arab Emirates",1.56716666666667,0.833,19.21,19.21,1.2,661.5,1867,6.521,99.6
"134","United Kingdom",25.2633333333333,0.90405,2269.66666666667,2301,3.4,131.2,14.1633333333333,297.2,100
"135","United States of America",16.29,0.91325,9018,9821.33333333333,3.1,1596.66666666667,28.34,6982.33333333333,99.1
"136","Uzbekistan",10.5866666666667,0.6715,554.6,1658.66666666667,2.7,1881,146.25,92.16,87.4
"137","Venezuela (Bolivarian Republic of)",3.713,0.76305,27057.6666666667,44536.3333333333,2.7,817.2,7.54,1864,92.7333333333333
"138","Viet Nam",31.3133333333333,0.6629,3973,9773.66666666667,3.8,955.1,18.13,603,92.9
"139","Yemen",2.982,0.497,85.06,85.06,2.9,163.9,168.6,88.17,54.95
"140","Zimbabwe",10.49,0.49965,831.6,1356.66666666667,2.8,267.8,33.51,256.7,77.6
